游戏名称,英文简称,修改总结
吹气球,BART,改为拖动条输入打气次数
模拟驾驶,Driving,暂无
钓鱼高手,DG,暂无
变色魔块,StopSig,暂无
察颜观色,Faces,添加序列
候鸟迁徙,Birds,添加序列
多彩文字,ColStrp,暂无
太空飞船,Flkr,暂无
太空飞船极速版,FlkrSpd,暂无
卡片分类,CardSort,添加序列
图片记忆A,BPSA,暂无
图片记忆B,BPSB,暂无
图片记忆C,BPSC,暂无
图片记忆D,BPSD,暂无
言语记忆,DRM,暂无
言语记忆B,DRMB,暂无
二维心理旋转测试C,MRC,改为40题更佳
二维心理旋转测试D,MRD,改为40题更佳
三维心理旋转测试A,MR3DA,暂无
三维心理旋转测试B,MR3DB,暂无
数字归纳推理A,DRIA,统一为数字推理A和B
数字归纳推理B,DRIB,统一为数字推理A和B
图形归纳推理A,NVRIA,统一为图形推理A和B
图形归纳推理B,NVRIB,统一为图形推理A和B
图形演绎推理A,NVRDA,统一为图形推理A和B
图形演绎推理B,NVRDB,统一为图形推理A和B
图形折叠与展开A,FOLDA,使用新题目
图形折叠与展开B,FOLDB,使用新题目
文字推理-初级,VRJr,统一为文字推理A和B
文字推理-高级,VRAdv,统一为文字推理A和B
远距离联想测试,RAT,减少题目数量和难度
阅读理解,Reading2,暂无
阅读判断,Reading,暂无
瑞文标准推理偶数版,RavenSE,暂无
瑞文标准推理奇数版,RavenSO,暂无
瑞文高级推理,RavenAdv,暂无
人工语言-初级,AscLanJr,暂无
人工语言-中级,AscLanMd,暂无
欢乐餐厅,AscMem,自适应导致部分人得分偏高，建议固定长度
火眼金睛,AttSrc,暂无
连点成画,FPT,暂无
连点成画极速版,FPTS,暂无
专注大师,CalcSpdJr,暂无
阻挡陨石,EP,不适合于测评，可基于此做训练游戏
阻挡陨石极速版,EPS,不适合于测评，可基于此做训练游戏
请你找茬,StD,优化作答限制，使作答次数等于总差异数目
舒尔特方格（高级）,SchulteAdv,暂无
舒尔特方格（中级）,SchulteMed,暂无
词语判断,Lexic,暂无
符号判断,Symbol,暂无
拼音判断,Pinyin,暂无
声调判断,Tone,暂无
语义判断,Seman,暂无
字形判断,Ortho,暂无
一心多用,MultiTask,改变刺激呈现为连续呈现
一心二用,DualTask,改变刺激呈现为连续呈现
捉虫,CPT,暂无
捉虫高级版,TOVA,暂无
捉虫高级简版,TOVAS,暂无
快打地鼠,Hamster,暂无
快速归类,CRT,暂无
超级秒表,SRT,暂无
超级秒表极速版,SRTS,暂无
方向临摹,JLO,暂无
城市导航,LocMemAdv,暂无
宇宙黑洞A,LocMemA,由于自适应问题，修改算分为总正确个数
宇宙黑洞B,LocMemB,由于自适应问题，修改算分为总正确个数
时空相机A,SpatTempA,由于自适应问题，修改算分为总正确个数
时空相机B,SpatTempB,由于自适应问题，修改算分为总正确个数
按图索骥,HOP,暂无
各得其所,LdnTwr,修复已有BUG
视听反应,MltSns,暂无
魔术师B,Nback,已修改，目前只保留了2-back和3-back
河道捕鱼,OneBackFish,暂无
倒背数,BDS,暂无
顺背数,FDS,暂无
方块速记,SSTMS,暂无
位置记忆,SSTM,暂无
位置记忆极速版,SSTMSpd,暂无
蝴蝶照相机,SCSpan,暂无
过目不忘,FWS,暂无
萤火虫,MOT,暂无
萤火虫高级版,MOT2,暂无
萤火虫极速版,MOTS,暂无
速算师（中级）,CalcMed,暂无
九五之集,NumSets,暂无
登陆月球（中级）,NLEMed,暂无
数感,NsymNCmp,暂无
数字大小比较,SymNCmp,暂无
塔罗牌,WxPred,目前的模式用户仍然分不清，建议改为原始设计或者直接使用单个图片对应概率的方式
在线认知测评知情同意书,Consent,暂无
长处和困难问卷,Strength,暂无
Conners行为评定量表,Conners,暂无
基本信息,Info,暂无
执行功能行为评定量表,EFEval,暂无
注意力评定量表,ADHD,暂无
